"Model","Prevalence","True_positives","False_negatives","True_negatives","False_positives","TPR","TNR","PPV","NPV","Accuracy","BA","BI","F1_score","MCC","Gmean","Fowlkes_Mallows_index","Markedness","Diagnostic_odds_ratio","Jaccardindex","Cohens_kappa","F_beta_score_0.5","F_beta_score_2","AUC","Run"
"LDA","0.433628318584071","258","281","585","119","0.478664192949907","0.830965909090909","0.684350132625995","0.675519630484988","0.678197908286404","0.654815051020408","0.309630102040816","0.563318777292576","0.333806098616335","0.630677117266741","0.572340723632858","0.359869763110983","4.51359191363378","0.39209726443769","0.320933866169887","0.306923625981442","0.419921875","0.71890943877551","3"
"GBM","0.433628318584071","309","230","550","154","0.573283858998145","0.78125","0.667386609071274","0.705128205128205","0.691069991954948","0.677266929499072","0.354533858998145","0.616766467065868","0.363413145898877","0.669236889929344","0.618548276767518","0.37251481419948","4.79813664596273","0.445887445887446","0.360490479278429","0.339784473279085","0.48923369221026","0.735501612835217","3"
"randomguess","0.433628318584071","245","294","410","294","0.454545454545455","0.582386363636364","0.454545454545455","0.582386363636364","0.526950925181014","0.518465909090909","0.0369318181818181","0.454545454545455","0.0369318181818182","0.514510519212353","0.454545454545455","0.0369318181818181","1.16213151927438","0.294117647058824","0.0369318181818183","0.252525252525252","0.378787878787879","0.503602525721032","3"
"Logistic Regression","0.427192276749799","254","277","592","120","0.47834274952919","0.831460674157303","0.679144385026738","0.681242807825086","0.680611423974256","0.654901711843247","0.309803423686493","0.561325966850829","0.334139471176722","0.630652983027749","0.56996823811595","0.360387192851824","4.523706377858","0.390168970814132","0.321900932629956","0.305950373403999","0.419280290524926","0.724670168645126","4"
"Random Forest","0.427192276749799","278","253","593","119","0.523540489642185","0.832865168539326","0.700251889168766","0.700945626477541","0.700724054706356","0.678202829090755","0.35640565818151","0.599137931034483","0.378138948833242","0.660332218010752","0.605483457187957","0.401197515646307","5.47560368020726","0.427692307692308","0.368216535271694","0.327598397360358","0.455439056356488","0.749120537886963","4"
"KNN","0.427192276749799","266","265","565","147","0.500941619585687","0.793539325842697","0.644067796610169","0.680722891566265","0.668543845534996","0.647240472714192","0.294480945428384","0.563559322033898","0.309264723045697","0.630489393322818","0.568014405765279","0.324790688176435","3.85804132973944","0.392330383480826","0.303040613185336","0.308799628511725","0.433507170795306","0.700415529317167","4"
"LDA","0.427192276749799","244","287","599","113","0.459510357815443","0.841292134831461","0.683473389355742","0.67607223476298","0.678197908286404","0.650401246323452","0.300802492646903","0.54954954954955","0.328865048241977","0.621757549132877","0.560413331122833","0.359545624118722","4.50667571151059","0.37888198757764","0.31387566411371","0.298799902032819","0.405046480743692","0.723863444000085","4"
"GBM","0.427192276749799","301","230","557","155","0.566854990583804","0.782303370786517","0.660087719298246","0.707750952986023","0.690265486725664","0.674579180685161","0.349158361370321","0.609929078014184","0.358376824115915","0.665922345233188","0.611697652363724","0.367838672284269","4.70286115007013","0.438775510204082","0.355541370566237","0.336012502790801","0.483767277402764","0.748808428024292","4"
"randomguess","0.427192276749799","238","293","419","293","0.448210922787194","0.588483146067416","0.448210922787194","0.588483146067416","0.528559935639582","0.518347034427305","0.0366940688546098","0.448210922787194","0.0366940688546097","0.513580153377822","0.448210922787194","0.0366940688546098","1.16159768896551","0.288834951456311","0.0366940688546098","0.249006068215108","0.373509102322662","0.501433589369221","4"
"Logistic Regression","0.423169750603379","252","274","595","122","0.479087452471483","0.829846582984658","0.67379679144385","0.684695051783659","0.68141592920354","0.654467017728071","0.308934035456141","0.56","0.332791724365833","0.630530796539142","0.568161586431442","0.35849184322751","4.48546128993658","0.388888888888889","0.321300734089668","0.305380513814833","0.419440745672437","0.725144640480244","5"
